GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated), 
Sun Nov 02 01:10:42 MST 2025,02-Nov-2025 01:10:42.383,-121.76871255,37.32709414,0.0,3.2160000801086426,105.0,0.0,9.25598335,-0.49799395,-3.41892004,0.02611405,
Sun Nov 02 01:10:43 MST 2025,02-Nov-2025 01:10:43.383,-121.76871249,37.32709409,0.0,3.2160000801086426,105.0,0.0,9.29907894,-0.49799395,-3.56257224,0.03537065,
Sun Nov 02 01:10:44 MST 2025,02-Nov-2025 01:10:44.383,-121.76871247,37.32709407,0.0,3.2160000801086426,105.0,0.0,9.27513695,-0.55545479,-3.47638083,0.03029269,
Sun Nov 02 01:10:45 MST 2025,02-Nov-2025 01:10:45.383,-121.76871238,37.32709397,0.0,3.2160000801086426,105.0,0.0,9.30865574,-0.58897364,-3.43328524,0.03215843,
Sun Nov 02 01:10:46 MST 2025,02-Nov-2025 01:10:46.383,-121.76871224,37.32709374,0.0,3.2160000801086426,105.0,0.0,9.32302189,-0.5267244,-3.50989962,0.03589588,
Sun Nov 02 01:10:47 MST 2025,02-Nov-2025 01:10:47.383,-121.76871209,37.32709348,0.0,3.2160000801086426,105.0,0.0,9.23682976,-0.521936,-3.41892004,0.02441126,
Sun Nov 02 01:10:48 MST 2025,02-Nov-2025 01:10:48.384,-121.76871202,37.32709329,0.0,3.2160000801086426,105.0,0.0,9.0644474,-0.50757074,-3.48116922,0.01015055,
Sun Nov 02 01:10:49 MST 2025,02-Nov-2025 01:10:49.384,-121.76871197,37.32709318,0.0,3.2160000801086426,105.0,0.0,9.44752026,-0.51235914,-3.65355182,0.05287522,
Sun Nov 02 01:10:50 MST 2025,02-Nov-2025 01:10:50.383,-121.768712,37.32709313,0.0,3.2160000801086426,105.0,0.0,9.09796619,-0.51235914,-3.49553442,0.01388568,
Sun Nov 02 01:10:51 MST 2025,02-Nov-2025 01:10:51.383,-121.76871206,37.32709309,0.0,3.2160000801086426,105.0,0.0,9.28471375,-0.55545479,-3.20823026,0.0219627,
Sun Nov 02 01:10:52 MST 2025,02-Nov-2025 01:10:52.383,-121.76871211,37.32709306,0.0,3.2160000801086426,105.0,0.0,9.12669659,-0.51714754,-3.29442143,0.00950491,
Sun Nov 02 01:10:53 MST 2025,02-Nov-2025 01:10:53.382,-121.76871226,37.32709318,0.0,3.2160000801086426,105.0,0.0,9.16021538,-0.54108959,-3.43328524,0.01771933,
Sun Nov 02 01:10:54 MST 2025,02-Nov-2025 01:10:54.384,-121.76871235,37.32709323,0.0,3.2160000801086426,105.0,0.0,9.40442467,-0.5363012,-3.64876342,0.04873472,
Sun Nov 02 01:10:55 MST 2025,02-Nov-2025 01:10:55.383,-121.76871242,37.32709326,0.0,3.2160000801086426,105.0,0.0,9.46188545,-0.47884035,-3.58172584,0.0514608,
Sun Nov 02 01:10:56 MST 2025,02-Nov-2025 01:10:56.384,-121.76871251,37.32709329,0.0,3.2160000801086426,105.0,0.0,9.26556015,-0.521936,-3.40934324,0.0268175,
Sun Nov 02 01:10:57 MST 2025,02-Nov-2025 01:10:57.382,-121.76871257,37.32709332,0.0,3.2160000801086426,105.0,0.0,9.39963627,-0.48841715,-3.55778384,0.04471689,
Sun Nov 02 01:10:58 MST 2025,02-Nov-2025 01:10:58.384,-121.76871261,37.32709333,0.0,3.2160000801086426,105.0,0.0,9.35654068,-0.50757074,-3.54341841,0.01230288,
Sun Nov 02 01:10:59 MST 2025,02-Nov-2025 01:10:59.383,-121.76871267,37.32709334,0.0,3.2160000801086426,105.0,0.0,9.16500378,-0.50757074,-3.38061285,0.01612455,
Sun Nov 02 01:11:00 MST 2025,02-Nov-2025 01:11:00.383,-121.76871272,37.32709338,0.0,3.2160000801086426,105.0,0.0,9.21767616,-0.55066639,-3.33751726,0.01989168,
Sun Nov 02 01:11:01 MST 2025,02-Nov-2025 01:11:01.384,-121.76871278,37.32709339,0.0,3.2160000801086426,105.0,0.0,9.23204136,-0.56981999,-3.43328524,0.02473313,
Sun Nov 02 01:11:02 MST 2025,02-Nov-2025 01:11:02.384,-121.76871285,37.32709339,0.0,3.2160000801086426,105.0,0.0,9.44273186,-0.61291564,-3.47159243,0.04645413,
Sun Nov 02 01:11:03 MST 2025,02-Nov-2025 01:11:03.383,-121.76871288,37.32709339,0.0,3.2160000801086426,105.0,0.0,9.03571701,-0.5363012,-3.42849684,0.00566387,
Sun Nov 02 01:11:04 MST 2025,02-Nov-2025 01:11:04.383,-121.76871301,37.32709353,0.0,3.2160000801086426,106.0,0.0,9.09796619,-0.5267244,-3.92649078,0.03052825,
Sun Nov 02 01:11:05 MST 2025,02-Nov-2025 01:11:05.383,-121.7687131,37.32709359,0.0,3.2160000801086426,106.0,0.0,9.32781029,-0.48841715,-3.81156921,0.04737335,
Sun Nov 02 01:11:06 MST 2025,02-Nov-2025 01:11:06.382,-121.76871315,37.32709363,0.0,3.2160000801086426,106.0,0.0,9.17458057,-0.61291564,-3.19865346,0.01140577,
Sun Nov 02 01:11:07 MST 2025,02-Nov-2025 01:11:07.383,-121.76871328,37.32709376,0.0,3.2160000801086426,105.0,0.0,8.77714348,-0.59376204,-4.29519796,0.01693738,
Sun Nov 02 01:11:08 MST 2025,02-Nov-2025 01:11:08.383,-121.76871337,37.3270939,0.0,3.2160000801086426,106.0,0.0,9.10275459,-0.75656772,-2.8969841,-0.00418669,
Sun Nov 02 01:11:09 MST 2025,02-Nov-2025 01:11:09.384,-121.76871349,37.32709397,0.0,3.2160000801086426,106.0,0.0,9.33259869,-0.47884035,-3.83072281,0.04851681,
Sun Nov 02 01:11:10 MST 2025,02-Nov-2025 01:11:10.384,-121.76871357,37.327094,0.0,3.2160000801086426,106.0,0.0,9.28471375,-0.47884035,-3.46680403,0.0304572,
Sun Nov 02 01:11:11 MST 2025,02-Nov-2025 01:11:11.383,-121.7687136,37.32709403,0.0,3.2160000801086426,106.0,0.0,9.17936897,-0.56503159,-3.54341841,0.02366394,
Sun Nov 02 01:11:12 MST 2025,02-Nov-2025 01:11:12.383,-121.76871363,37.32709403,0.0,3.2160000801086426,106.0,0.0,9.33738708,-0.45489833,-3.09809709,0.02291924,
Sun Nov 02 01:11:13 MST 2025,02-Nov-2025 01:11:13.383,-121.76871367,37.32709402,0.0,3.2160000801086426,106.0,0.0,9.36132908,-0.15801731,-3.14598107,0.0258376,
Sun Nov 02 01:11:14 MST 2025,02-Nov-2025 01:11:14.383,-121.7687175,37.32709627,0.5299999713897705,3.2160000801086426,106.0,331.29998779296875,8.73404789,0.0047884,-3.31357527,-0.02875865,
Sun Nov 02 01:11:15 MST 2025,02-Nov-2025 01:11:15.383,-121.76872638,37.32710193,0.8500000238418579,3.2160000801086426,105.0,305.3999938964844,9.20809937,-0.51235914,-3.8738184,0.03866392,
Sun Nov 02 01:11:16 MST 2025,02-Nov-2025 01:11:16.383,-121.7687371,37.32710783,0.9300000071525574,3.2160000801086426,104.0,299.5,9.0788126,-0.36870706,-4.77403831,0.06529182,
Sun Nov 02 01:11:17 MST 2025,02-Nov-2025 01:11:17.383,-121.76874859,37.32711321,1.159999966621399,3.2160000801086426,105.0,299.8999938964844,8.6765871,-0.51235914,-3.8738184,-0.01098078,
